Stone Quantities in Elevations ,,,,,,,,,,,,,,,,
Elevation,BOQ quantities (m2),Stone Finish material ,Stone Pattern ,Proposed Stone Dimensions (mm),Sheet number,Location in plans (Between Gridlines) ,"Quantity (m2)
as per dwgs","Quantity (m2)
as per dwgs/Stone type",Difference in quantities from BOQ,Offset from wall based on tender (mm),Offset from wall based on wall sections (mm),Wall Section Number,Lamellas Quantities in (LM),Stone Coping Quantities in (LM),Stone Coping width (cm),Notes
East Elevation,895,ST-11,A,W.1000 X H.500,A-207 / A-233 /  A-235 - PRESTIGE ENTRANCE,UU & NN,735,735,160,630,500,WS6,-,43,50,-
,168,ST-06,A,W.1000 X H.500,A-207 / A-233 / A-235 - PRESTIGE ENTRANCE,UU & NN,161,161,7,325,300,WS3-WS4,-,-,-,
,477.26,ST-12,A,W.1000 X H.500,A-207 / A-233 / A-235 - PRESTIGE ENTRANCE,UU & NN,344,588,-110.74,150,225,WS3-WS4-WS6,-,-,-,
,,,A,W.1000 X H.500,A-207 / A-233 / A-235 - PRESTIGE ENTRANCE,UU & NN,212,,,150,225,WS3-WS4-WS6,-,-,-,
,,,A,W.1000 X H.500,A-207 / A-233 / A-235 - PRESTIGE ENTRANCE,UU & NN,32,,,150,-,NO WALL SECTION,-,-,-,
,233,ST-03,B,FOLLOW PATTERN ,A-207 / A-234,DDD & ZZ,232,232,1,150,255,WS1,-,-,-,
,0,Lamellas,-,-,A-207,NN & MM,166.4,166.4,-166.4,Lamellas,,NO WALL SECTION,128,-,-,Not available in BOQ
Total,1773.26,Total,,,,,1882.4,,-109.14,-,-,-,128,43,-,-
West Elevation,870.06,ST-01,C,W.600 X H.300,A-204,J & L,19,1147,-276.94,200,-,NO WALL SECTION,-,-,-,-
,,,B,FOLLOW PATTERN ,A-204,L & O,677,,,190,315,WS1-WS2-WS3,-,-,-,
,,,B,FOLLOW PATTERN ,A-204,L & O,330,,,190,315,WS1-WS2-WS3,-,-,-,
,,,B,FOLLOW PATTERN ,A-204 / A-223 ,CC & DD (SOUK OLD DESIGN),40,,,-,-,-,-,-,-,
,,,B,FOLLOW PATTERN ,A-204 / A-223 ,CC & DD (SOUK OLD DESIGN),44,,,-,-,-,-,-,-,
,,,B,FOLLOW PATTERN ,A-204,HH & JJ(SOUK OLD DESIGN),37,,,-,-,-,-,-,-,
,1370,ST-03,C,W.600 X H.300,A-204,J & L,60,60,1310,200,-,NO WALL SECTION,-,-,-,
,0,ST-08,A,W.1000 X H.500,A-204 / A-223 ,DD & HH (SOUK OLD DESIGN),690,690,-690,-,-,-,-,-,-,From sheet A-223
,612.9,ST-13,C,W.600 X H.300,A-204 / A-224,LL & NN (SOUK OLD DESIGN),118,138,474.9,-,-,-,-,-,-,-
,,,C,W.600 X H.300,A-204 / A-224,UU & VV(SOUK OLD DESIGN),20,,,-,-,-,-,-,-,
,102.1,ST-14,D,W.1200 X H.500,A-204 / A-223 ,O & U ,107,107,-4.9,200,315,WS4,-,-,-,
Total,2955.06,Total,,,,,2142,,813.06,-,-,-,0,-,-,-
South Elevation,637,ST-01,B,FOLLOW PATTERN ,A-206 / A-230,77 & 79,218,1194,-557,200,315,NO WALL SECTION,-,-,-,-
,,,B,FOLLOW PATTERN ,A-206 / A-230,72 & 75,333,,,200,315,WS12,-,-,-,
,,,B,FOLLOW PATTERN ,A-205 / A-227,22 & 25,643,,,850,-,NO WALL SECTION,-,-,-,
,140,ST-03,B,FOLLOW PATTERN ,A-206 / A-232,88 & 90,114,114,26,150,-,NO WALL SECTION,-,-,-,
,285,ST-08,A,W.1000 X H.500,A-206 / A-230,75 & 77,280,280,5,200,315,WS13,-,-,-,
,322.5,ST-14,C,W.600 X H.300,A-206,57 & 62,126,631,-308.5,200,-,NO WALL SECTION,-,-,-,
,,,C,W.600 X H.300,A-205,46 & 49,69,,,200,-,NO WALL SECTION,-,-,-,
,,,C,W.600 X H.300,A-205 / A-226,17 & 19,116,,,200,-,NO WALL SECTION,-,-,-,
,,,C,W.600 X H.300,A-205 / A-226,TERRACE WALL ,320,,,Terrace wall,,NO WALL SECTION,-,-,-,"ST-14  CONFIRMED (RFI-AR-056 )  MEP enclosure and should be 
coordinated."
,0,ST-13,-,-,A-205 / A-226 / A-236,11 & 14 (SOUK OLD DESIGN),330,330,-330,200,-,-,-,-,-,-
Total,1384.5,Total,,,,,2549,,-1164.5,-,-,-,0,-,-,-
North Elevation,3061,ST-01,B,FOLLOW PATTERN ,A-203 / A-222,3 & 4,60,3279,-218,200,-,NO WALL SECTION,-,-,-,-
,,,B,FOLLOW PATTERN ,A-203 / A-222,3 & 9,1676,,,200,315,WS12,-,-,-,
,,,B,FOLLOW PATTERN ,A-203 / A-222,11 & 13,283,,,200,315,WS11,-,-,-,
,,,B,FOLLOW PATTERN ,A-203 / A-219,19 & 23,472,,,200,170,WS8,-,-,-,(RFI-AR-056 )
,,,C,W.600 X H.300,A-202 / A-212,52 & 55,513,,,150,170(WALLS)-150(BEAM),WS1,-,-,-,-
,,,C,W.600 X H.300,A-202 / A-212,52 & 55 TILING,55,,,150,-,-,-,-,-,Horizontal cladding
,,,C,W.600 X H.300,A-202 / A-210,R6 & R8,220,,,150,-,NO WALL SECTION,-,-,-,-
